MXU_SOC_TEST_BEGIN
MXU_MODE posit_ff
===MXU_OUT_BEGIN bank_count=8 row_start=0x0 row_count=32===
===MXU_OUT_BANK_BEGIN bank=0 rows=32===
row=0 7082  89be  8853  78ee  84d8  857a  7843  74c1
row=1 87e0  7949  7a34  85aa  8727  792c  764c  8827
row=2 7713  7a13  868d  78d8  860b  77a1  780f  79c2
row=3 74a7  8de6  879d  86d1  750c  78d3  7828  711e
row=4 749a  762d  8640  7926  8686  7917  79bd  79c1
row=5 8b18  777b  780d  8a6d  78cc  8ec9  87bc  85cf
row=6 88ab  868f  86bb  7917  761c  7207  75c8  7a6e
row=7 87e3  86f5  857e  764b  84e6  884d  7931  79fc
row=8 7547  7974  7914  89f0  7a03  7849  85f8  7416
row=9 793e  7971  7a17  879e  863e  87db  86c2  86f8
row=10 786d  87a7  76ad  8593  84f2  86cc  8eff  8647
row=11 78e4  86f6  782e  8675  85e0  7ab4  7b0e  785b
row=12 8680  86ea  85cc  8586  9154  7a21  707c  86ca
row=13 8d4d  8575  8571  744c  78df  7a0b  76c1  86cf
row=14 88ff  7aac  7a3f  875f  86dc  85c1  87cd  7954
row=15 87ab  88e9  88d4  876e  8843  79ae  7865  79b9
row=16 8702  85db  76cc  8f70  8f3b  7905  7831  79d1
row=17 7824  7aa1  894c  86e1  86e5  873a  8b43  85a7
row=18 85b6  7509  7b13  7abf  8762  86ce  74dc  7760
row=19 87b2  7a22  85fd  858a  868d  71e6  7770  79f2
row=20 878d  78f1  7875  7654  7941  869a  78d4  7917
row=21 8519  7a18  79aa  786d  8b6c  86c3  6548  79bc
row=22 86e8  7a44  786a  7abc  86b8  8693  8600  78e1
row=23 86c2  79e3  7940  85d7  873a  8786  7753  76f3
row=24 7934  78ef  789d  8612  77aa  79e6  783b  782f
row=25 76eb  865a  86a8  7822  7955  7a12  7510  8685
row=26 74ad  74e3  866f  7960  8661  8673  7611  86c5
row=27 758f  86d5  740c  9058  78ee  7968  86c5  72c2
row=28 94e8  85bb  8700  78e9  74e6  8682  874f  8716
row=29 8f5c  8755  86bd  879d  85a9  8849  7895  720f
row=30 790e  8632  79c1  87c9  793b  79fe  7a04  89d1
row=31 86b7  85c4  86ac  7865  8504  7709  87ad  769c
===MXU_OUT_BANK_END bank=0===
===MXU_OUT_BANK_BEGIN bank=1 rows=32===
row=0 7a0d  797c  79fa  7909  7826  871e  7908  7a04
row=1 7819  8634  891e  7a1f  8acb  8a52  86fc  85b9
row=2 85c9  795b  876d  7821  795f  788c  8673  79da
row=3 857e  7971  7950  86c6  922c  78ff  7a35  85fe
row=4 869b  787f  7a1e  87e4  7a35  85e8  761c  8531
row=5 8681  7727  782b  73ec  7993  7a24  79ab  7975
row=6 7acf  79f1  897e  7a41  7381  860f  8acd  8620
row=7 7a40  7328  7a8e  7a19  7955  85f9  7818  8b01
row=8 773c  85d1  797f  867a  79dc  786b  85dd  78df
row=9 7862  85fc  6900  8af2  8661  852d  8b90  7a17
row=10 8851  862c  8739  7711  89e1  867d  7a2d  85c6
row=11 86ef  861c  7a2f  7586  7941  877f  864b  79c7
row=12 781a  7866  7996  8646  796a  7abf  867e  789b
row=13 8537  778e  7820  74a0  7910  772a  7b3b  7986
